Date,AQS_SITE_ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CSA_CODE,CSA_NAME,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
9/23/2013,29-077-0042,1,0.042,ppm,36,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/24/2013,29-077-0042,1,0.049,ppm,42,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/25/2013,29-077-0042,1,0.047,ppm,40,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/26/2013,29-077-0042,1,0.049,ppm,42,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/27/2013,29-077-0042,1,0.049,ppm,42,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/28/2013,29-077-0042,1,0.04,ppm,34,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/29/2013,29-077-0042,1,0.033,ppm,28,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
9/30/2013,29-077-0042,1,0.03,ppm,25,19,79,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/1/2013,29-077-0042,1,0.04,ppm,34,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/2/2013,29-077-0042,1,0.029,ppm,25,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/3/2013,29-077-0042,1,0.032,ppm,27,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/4/2013,29-077-0042,1,0.032,ppm,27,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/5/2013,29-077-0042,1,0.023,ppm,19,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/6/2013,29-077-0042,1,0.025,ppm,21,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/7/2013,29-077-0042,1,0.033,ppm,28,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/8/2013,29-077-0042,1,0.035,ppm,30,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/9/2013,29-077-0042,1,0.042,ppm,36,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/10/2013,29-077-0042,1,0.043,ppm,36,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/11/2013,29-077-0042,1,0.045,ppm,38,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/12/2013,29-077-0042,1,0.04,ppm,34,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/13/2013,29-077-0042,1,0.035,ppm,30,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/14/2013,29-077-0042,1,0.036,ppm,31,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/15/2013,29-077-0042,1,0.03,ppm,25,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/16/2013,29-077-0042,1,0.029,ppm,25,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/17/2013,29-077-0042,1,0.037,ppm,31,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/18/2013,29-077-0042,1,0.024,ppm,20,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/19/2013,29-077-0042,1,0.033,ppm,28,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/20/2013,29-077-0042,1,0.041,ppm,35,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/21/2013,29-077-0042,1,0.026,ppm,22,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/22/2013,29-077-0042,1,0.035,ppm,30,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/23/2013,29-077-0042,1,0.027,ppm,23,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/24/2013,29-077-0042,1,0.031,ppm,26,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/25/2013,29-077-0042,1,0.032,ppm,27,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/26/2013,29-077-0042,1,0.036,ppm,31,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/27/2013,29-077-0042,1,0.043,ppm,36,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/28/2013,29-077-0042,1,0.038,ppm,32,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/29/2013,29-077-0042,1,0.028,ppm,24,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/30/2013,29-077-0042,1,0.027,ppm,23,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
10/31/2013,29-077-0042,1,0.026,ppm,22,19,79,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
4/1/2013,29-099-0019,1,0.047,ppm,40,24,100,44201,Ozone,476,"St. Louis-St. Charles-Farmington, MO-IL",41180,"St. Louis, MO-IL",29,Missouri,99,Jefferson,38.448633,-90.39854
